Name	Status	Kreis	Einwohner Schätzung 1995-12-31	Einwohner Schätzung 2001-12-31	Einwohner Zensus 2011-05-09	Einwohner Schätzung 2019-12-31
Espelkamp	Stadt	Minden-Lübbecke	27004	26883	24805	24782
Essen	Kreisfreie Stadt	Essen	614861	591889	566201	582760
Euskirchen	Stadt	Euskirchen	52205	54047	55414	58381
Everswinkel	Gemeinde	Warendorf	8684	9219	9382	9678
Extertal	Gemeinde	Lippe	13407	13227	11854	11069
Finnentrop	Gemeinde	Olpe	18299	18562	17172	16955
Frechen	Stadt	Rhein-Erft-Kreis	45583	47382	49657	52439
Freudenberg	Stadt	Siegen-Wittgenstein	18094	18315	18024	17711
Fröndenberg/Ruhr	Stadt	Unna	22145	23054	20928	20760
Gangelt	Gemeinde	Heinsberg	10367	11210	11404	12576
Geilenkirchen	Stadt	Heinsberg	26549	28137	26240	27470
Geldern	Stadt	Kleve	31709	33232	32871	33730
Gelsenkirchen	Kreisfreie Stadt	Gelsenkirchen	291164	276740	258766	259645
Gescher	Stadt	Borken	16095	16932	16869	17254
Geseke	Stadt	Soest	19170	20219	20718	21422
Gevelsberg	Stadt	Ennepe-Ruhr-Kreis	33769	33552	31227	30701
Gladbeck	Stadt	Recklinghausen	79605	77460	73974	75610
Goch	Stadt	Kleve	31186	33033	32708	34205
Grefrath	Gemeinde	Viersen	15447	16040	14946	14753
Greven	Stadt	Steinfurt	33216	34507	34659	37753
Grevenbroich	Stadt	Rhein-Kreis Neuss	63604	65039	61741	63743
Gronau (Westf)	Stadt	Borken	43529	45290	45494	48321
Gummersbach	Stadt	Oberbergischer Kreis	53149	53355	49951	50952
Gütersloh	Stadt	Gütersloh	92842	95459	94172	100861
Haan	Stadt	Mettmann	29888	29607	29574	30406
Hagen	Kreisfreie Stadt	Hagen	212003	202060	187944	188686
Hallenberg	Stadt	Hochsauerlandkreis	4997	4737	4507	4465
Halle (Westf)	Stadt	Gütersloh	19502	20728	21029	21577
Haltern am See	Stadt	Recklinghausen	35587	36956	37315	37850
Halver	Stadt	Märkischer Kreis	17168	17627	16474	16083
Hamm	Kreisfreie Stadt	Hamm	183408	183805	176037	179916
Hamminkeln	Stadt	Wesel	26480	27209	26350	26858
Harsewinkel	Stadt	Gütersloh	22616	23703	23799	25163
Hattingen	Stadt	Ennepe-Ruhr-Kreis	58650	58023	54253	54438
Havixbeck	Gemeinde	Coesfeld	10711	11828	11543	11943
Heek	Gemeinde	Borken	7578	7968	8356	8653
